epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,11052.5,0.91453,0.69554,1.0388,0.74934,0.66069,0.65163,0.51516,1.25186,1.24938,1.20719,0.000621791,0.000621791,0.000621791
78,11197,0.89209,0.69506,1.0319,0.7049,0.66837,0.62939,0.48943,1.22285,1.25352,1.18597,0.000608038,0.000608038,0.000608038
79,11339.2,0.90455,0.69022,1.02673,0.70451,0.66474,0.61109,0.44381,1.30055,1.40337,1.26805,0.000594286,0.000594286,0.000594286
80,11482.4,0.87309,0.66725,1.01632,0.71712,0.58719,0.63037,0.49495,1.25315,1.37986,1.2247,0.000580533,0.000580533,0.000580533
81,11626,0.89463,0.68287,1.02296,0.73253,0.6246,0.65151,0.51177,1.24282,1.26156,1.23112,0.00056678,0.00056678,0.00056678
82,11769,0.88093,0.66558,1.0135,0.72068,0.63742,0.63144,0.49183,1.25268,1.30185,1.2307,0.000553027,0.000553027,0.000553027
83,11912.9,0.86144,0.64345,1.01245,0.74407,0.60124,0.60807,0.4751,1.23162,1.3623,1.20247,0.000539275,0.000539275,0.000539275
84,12056.2,0.88593,0.66973,1.02668,0.61637,0.61693,0.566,0.42713,1.26881,1.4394,1.24575,0.000525522,0.000525522,0.000525522
85,12200.2,0.88805,0.66583,1.01815,0.75281,0.61439,0.61309,0.46654,1.2853,1.35141,1.23472,0.000511769,0.000511769,0.000511769
86,12344,0.87291,0.64978,1.01553,0.73556,0.59225,0.61231,0.47531,1.27705,1.41775,1.23041,0.000498016,0.000498016,0.000498016
87,12486.7,0.87302,0.65052,1.01124,0.76386,0.58808,0.59615,0.45634,1.30336,1.52806,1.23953,0.000484263,0.000484263,0.000484263
88,12632,0.86245,0.65074,1.01136,0.76143,0.63584,0.61814,0.47511,1.26589,1.33435,1.23167,0.000470511,0.000470511,0.000470511
89,12775,0.86862,0.65974,1.00831,0.71416,0.63787,0.60659,0.46913,1.26993,1.36506,1.24766,0.000456758,0.000456758,0.000456758
90,12918.9,0.87281,0.66286,1.01178,0.67414,0.6443,0.61455,0.47543,1.2957,1.38136,1.26002,0.000443005,0.000443005,0.000443005
91,13062.6,0.87002,0.65424,1.00656,0.74353,0.58183,0.61324,0.47796,1.26622,1.32157,1.24876,0.000429253,0.000429253,0.000429253
92,13206.1,0.8417,0.62787,0.99496,0.71333,0.63434,0.63394,0.49681,1.24121,1.28939,1.23315,0.0004155,0.0004155,0.0004155
93,13349.8,0.84854,0.63258,1.01299,0.74288,0.6111,0.62211,0.48532,1.25864,1.32203,1.24292,0.000401747,0.000401747,0.000401747
94,13493.6,0.85673,0.63589,1.00973,0.79383,0.57351,0.59467,0.46714,1.25639,1.37934,1.22907,0.000387994,0.000387994,0.000387994
95,13636.8,0.82665,0.6121,0.9965,0.77398,0.60124,0.61784,0.48715,1.21931,1.3539,1.2012,0.000374242,0.000374242,0.000374242
96,13779.8,0.83162,0.60988,0.98496,0.78622,0.60124,0.62184,0.4819,1.25366,1.32479,1.21895,0.000360489,0.000360489,0.000360489
97,13923.4,0.83193,0.63003,1.00125,0.80131,0.58479,0.62926,0.47891,1.23979,1.28736,1.20799,0.000346736,0.000346736,0.000346736
